SCATS Number,Date,hour,hour_sin,hour_cos,day_sin,day_cos,is_weekend,lat_scaled,lon_scaled,traffic_volume
0970,2006-10-01,16,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,3473
0970,2006-10-01,17,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,3558
0970,2006-10-01,18,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,2606
0970,2006-10-01,19,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,1805
0970,2006-10-01,20,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,1328
0970,2006-10-01,21,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,1314
0970,2006-10-01,22,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,846
0970,2006-10-01,23,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,503
0970,2006-10-02,0,0.0,1.0,0.0,1.0,0,-2.3129838794115534,1.3891761145954393,242
0970,2006-10-02,1,0.25881904510252074,0.9659258262890683,0.0,1.0,0,-2.3129838794115534,1.3891761145954393,118
0970,2006-10-02,2,0.49999999999999994,0.8660254037844387,0.0,1.0,0,-2.3129838794115534,1.3891761145954393,105
0970,2006-10-02,3,0.7071067811865476,0.7071067811865476,0.0,1.0,0,-2.3129838794115534,1.3891761145954393,85
0970,2006-10-02,4,0.8660254037844386,0.5000000000000001,0.0,1.0,0,-2.3129838794115534,1.3891761145954393,156
0970,2006-10-02,5,0.9659258262890683,0.25881904510252074,0.0,1.0,0,-2.3129838794115534,1.3891761145954393,407
0970,2006-10-02,6,1.0,6.123233995736766e-17,0.0,1.0,0,-2.3129838794115534,1.3891761145954393,1664
0970,2006-10-02,7,0.9659258262890683,-0.25881904510252063,0.0,1.0,0,-2.3129838794115534,1.3891761145954393,4292
0970,2006-10-02,8,0.8660254037844387,-0.4999999999999998,0.0,1.0,0,-2.3129838794115534,1.3891761145954393,4965
0970,2006-10-02,9,0.7071067811865476,-0.7071067811865475,0.0,1.0,0,-2.3129838794115534,1.3891761145954393,3509
0970,2006-10-02,10,0.49999999999999994,-0.8660254037844387,0.0,1.0,0,-2.3129838794115534,1.3891761145954393,3074
0970,2006-10-02,11,0.258819045102521,-0.9659258262890682,0.0,1.0,0,-2.3129838794115534,1.3891761145954393,3030
0970,2006-10-02,12,1.2246467991473532e-16,-1.0,0.0,1.0,0,-2.3129838794115534,1.3891761145954393,3106
0970,2006-10-02,13,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0,-2.3129838794115534,1.3891761145954393,3180
0970,2006-10-02,14,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,-2.3129838794115534,1.3891761145954393,3374
0970,2006-10-02,15,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0,-2.3129838794115534,1.3891761145954393,3883
